"Image type","Feature Class","Feature Name","1124167 AXIAL_Segmentation_segment_head"
"diagnostics","Versions","PyRadiomics","v3.1.0.post2+g146e3bd"
"diagnostics","Versions","Numpy","1.26.4"
"diagnostics","Versions","SimpleITK","2.4.0rc2.dev213"
"diagnostics","Versions","PyWavelet","1.6.0"
"diagnostics","Versions","Python","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}"
"diagnostics","Image-original","Hash","1a607fc775d06fae38e5510d647dc44172215d12"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.2, 0.2, 0.2)"
"diagnostics","Image-original","Size","(1003, 1003, 1003)"
"diagnostics","Image-original","Mean","-558.4072434057805"
"diagnostics","Image-original","Minimum","-1000.0"
"diagnostics","Image-original","Maximum","3095.0"
"diagnostics","Mask-original","Hash","2c386ed84026f920d066655d4e7af393b922a5e9"
"diagnostics","Mask-original","Spacing","(0.2, 0.2, 0.2)"
"diagnostics","Mask-original","Size","(1003, 1003, 1003)"
"diagnostics","Mask-original","BoundingBox","(632, 241, 94, 165, 389, 392)"
"diagnostics","Mask-original","VoxelNum","1885915"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(717.9718778417903, 464.5754506433217, 261.21258063062226)"
"diagnostics","Mask-original","CenterOfMass","(143.59437556835806, 92.91509012866435, 52.44251612612446)"
"original","shape","Elongation","0.3448660777642207"
"original","shape","Flatness","0.13537780115668702"
"original","shape","LeastAxisLength","13.185237654819437"
"original","shape","MajorAxisLength","97.39586211448928"
"original","shape","Maximum2DDiameterColumn","55.93782262476794"
"original","shape","Maximum2DDiameterRow","95.49240807519728"
"original","shape","Maximum2DDiameterSlice","66.90231685076385"
"original","shape","Maximum3DDiameter","101.0324700282043"
"original","shape","MeshVolume","15025.722000000671"
"original","shape","MinorAxisLength","33.58852895788878"
"original","shape","Sphericity","0.25215517530229775"
"original","shape","SurfaceArea","11678.125495116354"
"original","shape","SurfaceVolumeRatio","0.7772089417810227"
"original","shape","VoxelVolume","15087.320000000003"
"original","firstorder","10Percentile","126.0"
"original","firstorder","90Percentile","1503.0"
"original","firstorder","Energy","1618130912889.0"
"original","firstorder","Entropy","6.2053128880609"
"original","firstorder","InterquartileRange","969.0"
"original","firstorder","Kurtosis","1.7510487249334787"
"original","firstorder","Maximum","2017.0"
"original","firstorder","MeanAbsoluteDeviation","471.950375535501"
"original","firstorder","Mean","758.5020327003073"
"original","firstorder","Median","683.0"
"original","firstorder","Minimum","-439.0"
"original","firstorder","Range","2456.0"
"original","firstorder","RobustMeanAbsoluteDeviation","387.6658247602262"
"original","firstorder","RootMeanSquared","926.2874287379088"
"original","firstorder","Skewness","0.2335307838030806"
"original","firstorder","TotalEnergy","12945047303.112003"
"original","firstorder","Uniformity","0.014943455444346325"
"original","firstorder","Variance","282683.06702738884"
"original","glcm","Autocorrelation","2852.350018923592"
"original","glcm","ClusterProminence","5608665.668279499"
"original","glcm","ClusterShade","17067.12682480223"
"original","glcm","ClusterTendency","1799.04701258554"
"original","glcm","Contrast","30.925039159055903"
"original","glcm","Correlation","0.9662601672342063"
"original","glcm","DifferenceAverage","3.9016083075597168"
"original","glcm","DifferenceEntropy","3.464875283742827"
"original","glcm","DifferenceVariance","14.791762722237722"
"original","glcm","Id","0.35294216756494234"
"original","glcm","Idm","0.269268022678574"
"original","glcm","Idmn","0.9968971580563484"
"original","glcm","Idn","0.9634223638701539"
"original","glcm","Imc1","-0.3206449875005708"
"original","glcm","Imc2","0.9883932965321638"
"original","glcm","InverseVariance","0.2695623750570762"
"original","glcm","JointAverage","49.09497377288808"
"original","glcm","JointEnergy","0.0011037152853816206"
"original","glcm","JointEntropy","10.421866247426257"
"original","glcm","MCC","0.9671159602827809"
"original","glcm","MaximumProbability","0.0035539772000331015"
"original","glcm","SumAverage","98.1899475457761"
"original","glcm","SumEntropy","7.193060185673156"
"original","glcm","SumSquares","457.49301293614906"
"original","gldm","DependenceEntropy","9.066589078732292"
"original","gldm","DependenceNonUniformity","274008.4562554516"
"original","gldm","DependenceNonUniformityNormalized","0.14529204988318753"
"original","gldm","DependenceVariance","4.684443860820071"
"original","gldm","GrayLevelNonUniformity","28182.086774324398"
"original","gldm","GrayLevelVariance","452.3673538697709"
"original","gldm","HighGrayLevelEmphasis","2839.668824416795"
"original","gldm","LargeDependenceEmphasis","18.768274816203274"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","60632.29925261743"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.01632102728728813"
"original","gldm","LowGrayLevelEmphasis","0.000839978172187227"
"original","gldm","SmallDependenceEmphasis","0.2233060753150082"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","597.7981477361996"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.00016208866123360139"
"original","glrlm","GrayLevelNonUniformity","25119.142880970143"
"original","glrlm","GrayLevelNonUniformityNormalized","0.01489749513617991"
"original","glrlm","GrayLevelVariance","439.5033102130995"
"original","glrlm","HighGrayLevelRunEmphasis","2809.6346635458567"
"original","glrlm","LongRunEmphasis","1.418221709915886"
"original","glrlm","LongRunHighGrayLevelEmphasis","4126.0847770318815"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.0011943066020690695"
"original","glrlm","LowGrayLevelRunEmphasis","0.0008352873041457926"
"original","glrlm","RunEntropy","6.73250417173959"
"original","glrlm","RunLengthNonUniformity","1385536.572936258"
"original","glrlm","RunLengthNonUniformityNormalized","0.8200742283909115"
"original","glrlm","RunPercentage","0.8941214211669136"
"original","glrlm","RunVariance","0.1617849247686922"
"original","glrlm","ShortRunEmphasis","0.9234369084783776"
"original","glrlm","ShortRunHighGrayLevelEmphasis","2577.328070372504"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.0007665357657251393"
"original","glszm","GrayLevelNonUniformity","7230.2605605258805"
"original","glszm","GrayLevelNonUniformityNormalized","0.016372094081861778"
"original","glszm","GrayLevelVariance","278.8460825949004"
"original","glszm","HighGrayLevelZoneEmphasis","2625.519411441032"
"original","glszm","LargeAreaEmphasis","3777.8080956295103"
"original","glszm","LargeAreaHighGrayLevelEmphasis","20918885.394256614"
"original","glszm","LargeAreaLowGrayLevelEmphasis","1.7722325485169979"
"original","glszm","LowGrayLevelZoneEmphasis","0.0007071660881929076"
"original","glszm","SizeZoneNonUniformity","160319.9198294465"
"original","glszm","SizeZoneNonUniformityNormalized","0.3630260332489771"
"original","glszm","SmallAreaEmphasis","0.6254619084088984"
"original","glszm","SmallAreaHighGrayLevelEmphasis","1669.6038192210128"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.00041687654458381326"
"original","glszm","ZoneEntropy","8.387761107968561"
"original","glszm","ZonePercentage","0.23416802984227816"
"original","glszm","ZoneVariance","3759.5714568516114"
"original","ngtdm","Busyness","13.415637083591514"
"original","ngtdm","Coarseness","1.971259731703035e-05"
"original","ngtdm","Complexity","7251.205797511133"
"original","ngtdm","Contrast","0.1745088649380284"
"original","ngtdm","Strength","0.07126943895486829"
